embedding_file,mean_score,kmeans_vs_gmm,kmeans_vs_hdbscan,gmm_vs_hdbscan
gae_embeddings.csv,0.8905472264130266,0.9181988477030538,0.9052566371790075,0.8481861943570187
gat_aug_dropout_and_norm_embeddings.csv,0.6471756573072928,0.4928269138891281,0.803849720824102,0.6448503372086479
graphsage_aug_and_dropout_embeddings.csv,0.6368197328481274,0.4737746740439181,0.5336092319830077,0.9030752925174566
gat_aug_dropout_and_norm_with_improved_edges_training.csv,0.5752250857819795,0.8378982938379171,0.39372733218345357,0.494049631324568
gcn_aug_dropout_and_norm_embeddings.csv,0.519942776396856,0.39273983563719767,0.8301384581413289,0.3369500354120416
gat_aug_and_dropout_embeddings.csv,0.4665995372407184,0.4161875686396122,0.502664846496565,0.48094619658597815
gcn_aug_and_dropout_embeddings.csv,0.3505773630429215,0.901528541348682,0.04225079164108811,0.10795275613899438
graphsage_aug_dropout_and_norm_embeddings.csv,0.321681428295926,0.1401650842203196,0.37243034698343075,0.45244885368402765
gcn_aug_dropout_and_norm_with_improved_edges_training.csv,0.15626331977415672,0.04706470305000384,0.21703620606061058,0.20468905021185577
graphsage_aug_dropout_and_norm_with_improved_edges_training.csv,0.11209988617328205,-0.02178636816284114,0.034845917571870284,0.323240109110817
