hdbscan_cluster,critical_depth,program_communication,parallelism,fiedler_topology,effective_resistance,graph_density,graph_diameter,avg_clustering,twoq_temporal_locality,spectral_entropy_topology,log_spanning_trees
-1,0.438,0.383,0.315,1.746,4.365,0.464,3.36,0.407,6.801,1.953,8.085
0,0.47,0.51,0.254,1.929,2.279,0.51,2.546,0.482,8.987,1.998,11.949
1,0.434,0.283,0.193,0.766,5.266,0.283,3.75,0.161,0.0,2.266,8.904
2,0.363,0.211,0.267,0.166,6.511,0.211,3.316,0.192,0.0,2.119,4.76
3,0.433,0.317,0.364,0.66,5.68,0.317,3.926,0.264,8.703,2.098,7.222
4,0.609,0.476,0.366,0.931,2.764,0.476,2.94,0.421,7.895,1.644,4.183
5,0.212,0.191,0.654,5.665,1.236,0.805,2.0,0.828,3.997,2.244,19.462
6,0.236,0.206,0.351,8.522,0.955,0.951,1.848,0.949,4.192,2.228,21.671
7,0.501,0.336,0.311,0.487,7.803,0.336,4.375,0.236,5.331,1.777,2.494
8,0.346,0.178,0.377,0.132,18.363,0.178,7.317,0.0,4.255,2.037,-0.0
9,0.539,0.349,0.327,0.554,7.989,0.349,4.519,0.172,4.739,1.639,1.302
10,0.453,0.281,0.287,0.435,8.252,0.281,4.658,0.211,6.279,1.986,3.969
11,0.582,0.476,0.271,0.926,2.758,0.476,2.932,0.411,6.657,1.649,4.206
12,0.678,0.476,0.219,0.962,2.77,0.476,2.931,0.444,7.471,1.633,4.127
13,0.641,0.624,0.268,1.601,1.782,0.624,2.184,0.574,6.45,1.482,3.923
14,0.384,0.322,0.259,0.833,4.774,0.322,3.594,0.294,8.754,2.239,10.215
15,0.445,0.442,0.231,1.355,3.228,0.442,3.038,0.43,10.538,2.155,11.299
16,0.56,0.429,0.249,0.86,3.166,0.429,3.082,0.362,7.446,1.794,5.238
17,0.5,0.429,0.286,0.89,3.148,0.429,3.229,0.388,6.806,1.79,5.221
18,0.491,0.389,0.262,0.791,3.7,0.389,3.521,0.335,7.658,1.92,6.227
19,0.49,0.389,0.265,0.892,3.515,0.389,3.171,0.324,7.617,1.926,6.331
20,0.398,0.291,0.288,0.579,5.527,0.291,4.043,0.217,7.033,2.108,6.803
21,0.465,0.333,0.261,0.653,4.777,0.333,3.667,0.256,7.744,2.0,6.306
22,0.417,0.291,0.272,0.58,5.752,0.291,3.938,0.269,7.362,2.093,6.607
23,0.452,0.333,0.266,0.693,4.555,0.333,3.691,0.278,7.606,2.013,6.488
24,0.323,0.231,0.288,0.487,7.572,0.231,4.448,0.158,7.403,2.345,9.059
25,0.381,0.273,0.274,0.538,6.151,0.273,4.25,0.205,7.609,2.196,7.749
26,0.444,0.273,0.234,0.54,6.301,0.273,4.139,0.224,8.716,2.184,7.613
27,0.38,0.256,0.262,0.538,6.748,0.256,4.211,0.208,8.234,2.284,8.807
28,0.385,0.253,0.251,0.506,6.946,0.253,4.174,0.224,8.447,2.282,8.772
29,0.388,0.231,0.24,0.439,7.978,0.231,4.655,0.197,8.837,2.344,8.95
30,0.347,0.231,0.267,0.438,8.195,0.231,4.707,0.194,7.852,2.335,8.758
31,0.434,0.273,0.241,0.557,6.242,0.273,4.139,0.247,8.561,2.179,7.562
32,0.319,0.21,0.278,0.431,8.784,0.21,4.814,0.148,7.575,2.416,9.315
33,0.375,0.21,0.235,0.435,9.188,0.21,5.065,0.169,8.861,2.406,9.171
